DATE,BOROUGH,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS
1993 / 02,Queens,49243.5,0.0,0.0,0.0,0.0,0.0,0.0
1993 / 02,Staten Island,10823.3,0.0,0.0,0.0,0.0,0.0,0.0
1993 / 03,Bronx,36335.5,0.0,0.0,0.0,0.0,0.0,0.0
1993 / 03,Brooklyn,80042.1,0.0,0.0,0.0,0.0,0.0,0.0
1993 / 03,Manhattan,41053.2,0.0,0.0,0.0,0.0,0.0,0.0
1993 / 03,Queens,61477.7,0.0,0.0,0.0,0.0,0.0,0.0
1993 / 03,Staten Island,13376.6,0.0,0.0,0.0,0.0,0.0,0.0
1993 / 04,Bronx,37527.4,314.0,226.79999999999998,0.0,0.0,0.0,0.0
1993 / 04,Brooklyn,81982.1,163.3,114.9,0.0,0.0,0.0,0.0
1993 / 04,Manhattan,40977.299999999996,895.1,337.9,0.0,0.0,0.0,0.0
1993 / 04,Queens,68613.1,438.1,334.5,0.0,0.0,0.0,0.0
1993 / 04,Staten Island,17032.1,49.4,37.5,0.0,0.0,0.0,0.0
1993 / 05,Bronx,35714.8,1637.8000000000002,1241.1,0.0,0.0,0.0,0.0
1993 / 05,Brooklyn,78614.2,1263.9,797.0,0.0,0.0,0.0,0.0
1993 / 05,Manhattan,39108.7,4961.0,1971.0,0.0,0.0,0.0,0.0
1993 / 05,Queens,70164.7,2193.9,1636.1999999999998,0.0,0.0,0.0,0.0
1993 / 05,Staten Island,17692.3,0.0,15.6,0.0,0.0,0.0,0.0
1993 / 06,Bronx,38360.8,1700.3000000000002,1488.9,0.0,0.0,0.0,0.0
1993 / 06,Brooklyn,79311.2,5002.9,3621.4,0.0,0.0,0.0,0.0
1993 / 06,Manhattan,42035.6,4808.5,2155.3,0.0,0.0,0.0,0.0
1993 / 06,Queens,74850.9,2492.9,1824.6,0.0,0.0,0.0,0.0
1993 / 06,Staten Island,17724.7,0.0,3.6,0.0,0.0,0.0,0.0
1993 / 07,Bronx,37001.6,1716.7,1695.6,0.0,0.0,0.0,0.0
1993 / 07,Brooklyn,74143.6,6199.3,5060.8,0.0,0.0,0.0,0.0
1993 / 07,Manhattan,39098.9,4789.700000000001,2477.1,0.0,0.0,0.0,0.0
1993 / 07,Queens,69415.1,2243.7,2036.2,0.0,0.0,0.0,0.0
1993 / 07,Staten Island,15258.1,0.0,29.6,0.0,0.0,0.0,0.0
1993 / 08,Bronx,36196.7,1266.5,1148.0,0.0,0.0,0.0,0.0
1993 / 08,Brooklyn,72507.6,5558.8,4645.4,0.0,0.0,0.0,0.0
1993 / 08,Manhattan,39181.7,4977.7,2096.1,0.0,0.0,0.0,0.0
1993 / 08,Queens,68532.6,2279.6,1919.4,0.0,0.0,0.0,0.0
1993 / 08,Staten Island,14483.3,34.4,10.8,0.0,0.0,0.0,0.0
1993 / 09,Bronx,35936.2,963.5,759.3000000000001,0.0,0.0,0.0,0.0
1993 / 09,Brooklyn,73630.8,6327.5,4859.7,0.0,0.0,0.0,0.0
1993 / 09,Manhattan,40823.1,5882.2,2401.2,0.0,0.0,0.0,0.0
1993 / 09,Queens,63329.3,4441.2,2668.2,0.0,0.0,0.0,0.0
1993 / 09,Staten Island,14973.1,75.80000000000001,28.9,0.0,0.0,0.0,0.0
1993 / 10,Bronx,34535.2,1414.6,1094.0,0.0,0.0,0.0,0.0
1993 / 10,Brooklyn,71422.9,6165.7,4596.400000000001,0.0,0.0,0.0,0.0
1993 / 10,Manhattan,40068.3,6040.9,2562.4,0.0,0.0,0.0,0.0
1993 / 10,Queens,58289.4,6586.2,3920.1,0.0,0.0,0.0,0.0
1993 / 10,Staten Island,14467.199999999999,65.2,7.2,0.0,0.0,0.0,0.0
1993 / 11,Bronx,37202.1,1404.6,1137.6,0.0,0.0,0.0,0.0
1993 / 11,Brooklyn,75049.3,6067.4,4324.4,0.0,0.0,0.0,0.0
1993 / 11,Manhattan,41962.2,5680.5,2265.9,0.0,0.0,0.0,0.0
1993 / 11,Queens,65270.0,6514.8,3940.7999999999997,0.0,0.0,0.0,0.0
1993 / 11,Staten Island,13945.4,2210.0,922.4000000000001,0.0,0.0,2736.9,0.0
1993 / 12,Bronx,35701.5,1632.0,1395.6,0.0,0.0,0.0,0.0
1993 / 12,Brooklyn,73574.7,6859.1,4839.3,0.0,0.0,0.0,0.0
1993 / 12,Manhattan,41519.0,6396.1,2815.2,0.0,0.0,0.0,0.0
1993 / 12,Queens,55863.7,7056.2,4079.3,0.0,0.0,0.0,0.0
1993 / 12,Staten Island,13090.1,2329.4,996.5,0.0,0.0,685.2,0.0
1994 / 01,Bronx,34268.3,1048.0,1262.0,0.0,0.0,0.0,93.6
1994 / 01,Brooklyn,70174.1,5277.4,4846.3,0.0,0.0,0.0,210.6
1994 / 01,Manhattan,40682.5,5296.7,2723.0,0.0,0.0,0.0,371.2
1994 / 01,Queens,50640.1,5360.5,4057.5,0.0,0.0,0.0,279.4
1994 / 01,Staten Island,12823.6,1560.2,969.5999999999999,0.0,0.0,0.0,247.39999999999998
1994 / 02,Bronx,29406.6,855.0,912.6999999999999,0.0,0.0,0.0,0.0
