DATE,BOROUGH,POPULATION,POPULATION PERCENTAGE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,TSUN
1994 / 02,Bronx,1203789,16.44,,87.4,671,-0.79,3.3,-4.88,10884
1994 / 03,Bronx,1203789,16.44,,160.6,206,4.81,8.89,0.72,11393
1994 / 04,Bronx,1203789,16.44,,61.6,0,13.12,18.44,7.8,15262
1994 / 05,Bronx,1203789,16.44,,107.9,0,16.54,22.42,10.65,18539
1994 / 06,Bronx,1203789,16.44,,81.6,0,23.98,29.26,18.7,18127
1994 / 07,Bronx,1203789,16.44,,98,0,26.32,31.05,21.58,16074
1994 / 08,Bronx,1203789,16.44,,160.9,0,23.31,27.98,18.64,13928
1994 / 09,Bronx,1203789,16.44,,84.6,0,19.79,24.29,15.29,13605
1994 / 10,Bronx,1203789,16.44,,34.3,0,14.43,19.21,9.66,14276
1994 / 11,Bronx,1203789,16.44,,110.3,0,11.07,15.28,6.87,9481
1994 / 12,Bronx,1203789,16.44,,73.8,0,5.64,9.4,1.89,9832
1994 / 01,Brooklyn,2300664,31.42,,142.7,305,-3.6,0.66,-7.85,7654
1994 / 02,Brooklyn,2300664,31.42,,87.4,671,-0.79,3.3,-4.88,10884
1994 / 03,Brooklyn,2300664,31.42,,160.6,206,4.81,8.89,0.72,11393
1994 / 04,Brooklyn,2300664,31.42,,61.6,0,13.12,18.44,7.8,15262
1994 / 05,Brooklyn,2300664,31.42,,107.9,0,16.54,22.42,10.65,18539
1994 / 06,Brooklyn,2300664,31.42,,81.6,0,23.98,29.26,18.7,18127
1994 / 07,Brooklyn,2300664,31.42,,98,0,26.32,31.05,21.58,16074
1994 / 08,Brooklyn,2300664,31.42,,160.9,0,23.31,27.98,18.64,13928
1994 / 09,Brooklyn,2300664,31.42,,84.6,0,19.79,24.29,15.29,13605
1994 / 10,Brooklyn,2300664,31.42,,34.3,0,14.43,19.21,9.66,14276
1994 / 11,Brooklyn,2300664,31.42,,110.3,0,11.07,15.28,6.87,9481
1994 / 12,Brooklyn,2300664,31.42,,73.8,0,5.64,9.4,1.89,9832
1994 / 01,Manhattan,1487536,20.31,,142.7,305,-3.6,0.66,-7.85,7654
1994 / 02,Manhattan,1487536,20.31,,87.4,671,-0.79,3.3,-4.88,10884
1994 / 03,Manhattan,1487536,20.31,,160.6,206,4.81,8.89,0.72,11393
1994 / 04,Manhattan,1487536,20.31,,61.6,0,13.12,18.44,7.8,15262
1994 / 05,Manhattan,1487536,20.31,,107.9,0,16.54,22.42,10.65,18539
1994 / 06,Manhattan,1487536,20.31,,81.6,0,23.98,29.26,18.7,18127
1994 / 07,Manhattan,1487536,20.31,,98,0,26.32,31.05,21.58,16074
1994 / 08,Manhattan,1487536,20.31,,160.9,0,23.31,27.98,18.64,13928
